Country,Base year (Convention),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Poland,"257,639","235,819","229,752","220,519","207,658","206,782","191,498","198,131","192,444","185,486","179,914","177,436","179,063","172,886","181,245","179,206","178,088","183,336","180,045","173,747","166,285","172,853","174,858","169,603"
Portugal,"16,326","16,326","16,949","20,023","18,082","17,262","19,891","15,922","16,648","19,272","25,395","21,619","22,092","25,518","21,006","22,478","25,489","22,531","19,879","19,283","19,439","14,521","16,487","17,425"
Romania,"80,405","72,768","67,612","60,296","59,252","59,927","62,099","64,633","57,846","48,167","40,824","42,756","45,042","43,152","46,491","41,726","41,272","43,347","43,337","41,559","35,052","32,130","35,528","32,522"
Russian Federation,"1,176,042","1,176,042","1,105,360","1,081,247","1,056,814","965,284","912,581","910,575","857,885","862,470","850,560","863,464","861,600","870,637","881,018","865,770","868,377","899,594","886,097","904,651","867,245","891,742","894,619","917,362"
Slovakia,"19,637","19,637","16,640","14,645","13,388","12,637","12,505","12,483","12,310","12,456","12,544","12,927","13,910","13,236","13,792","13,502","12,499","11,967","11,285","11,310","10,199","9,866","10,025","9,524"
Slovenia,"6,729","6,265","5,345","5,867","5,645","5,255","5,627","5,237","5,650","5,885","5,194","5,498","6,203","6,452","6,184","6,314","6,325","6,379","6,596","6,388","6,088","6,214","6,259","5,990"
Spain,"77,656","77,656","78,037","85,780","79,998","80,067","85,804","72,960","85,367","84,749","99,885","105,374","98,812","112,652","105,697","115,306","125,168","120,099","125,560","108,683","91,044","74,712","87,063","91,919"
Sweden,"10,147","10,147","11,146","11,753","11,890","12,394","11,535","16,053","11,179","12,260","10,491","8,954","10,528","11,476","12,672","11,738","10,831","10,863","10,252","10,153","10,567","13,090","10,662","10,264"
Switzerland,"2,601","2,601","2,859","2,939","2,584","2,613","2,643","2,855","2,813","3,132","3,165","3,064","3,187","3,268","3,295","3,617","3,804","4,078","3,835","4,025","3,949","4,180","3,968","4,064"
Turkey,"34,143","34,143","36,771","41,957","40,722","47,359","47,494","52,177","58,413","64,316","69,605","77,074","80,020","74,317","74,465","76,463","88,881","90,944","106,988","106,334","102,880","112,984","122,222","119,588"
Ukraine,"272,049","272,049","232,449","198,870","171,100","148,903","132,397","115,501","107,818","101,323","104,030","97,042","100,210","99,884","105,362","98,664","99,877","107,668","107,055","106,086","96,780","102,642","112,053","119,156"
United Kingdom,"237,750","237,750","235,535","224,302","207,874","205,685","203,894","205,498","192,674","198,402","189,106","199,694","209,774","207,800","215,335","214,458","213,886","221,972","216,478","210,597","187,408","193,160","180,085","191,581"
United States,"1,828,514","1,828,514","1,825,876","1,839,280","1,914,975","1,939,472","1,956,231","2,029,519","2,097,094","2,186,475","2,199,797","2,306,943","2,268,517","2,285,109","2,317,814","2,352,230","2,418,601","2,363,077","2,430,011","2,378,209","2,163,655","2,278,107","2,176,519","2,041,457"
