Index,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12
CZECH.INDPROD.HYDRO      ,273,222,312,335,293,345,224,350,256,257,209,290,335,282,291,275,175,162,207,218,190,223,210,254,349,293,367,287,234,177,167,197,208,213,248,278
CZECH.INDPROD.GEOTHERM   ,18,40,85,88,83,107,103,113,98,97,66,47,65,126,239,275,319,294,267,282,244,192,108,100,137,147,249,268,336,287,286,299,242,163,92,39
CZECH.INDPROD.ELECTR     ,7888,7025,7462,6538,5707,5594,6400,5705,6228,6978,6694,7245,7773,7020,7288,6403,6528,5977,5745,6114,6071,7232,7398,7504,7897,7240,7560,7093,6401,6096,6336,5828,5892,6621,6760,6679
CZECH.IMPORTS.ELECTR     ,598,689,549,490,489,376,503,448,479,707,682,631,535,718,813,698,591,532,1106,922,805,941,1214,1584,1281,1524,840,675,604,702,898,1149,727,1090,1090,1009
CZECH.EXPORTS.ELECTR     ,2118,2027,2147,1933,1216,1287,2183,1389,1752,2181,1793,1565,2073,1988,2245,2076,2143,1778,2145,2212,2055,2735,2765,3286,3048,2509,2716,2579,2108,2147,2617,2246,1893,2303,2288,2256
CZECH.CONSUME.ELECTR     ,6368,5687,5864,5095,4980,4683,4720,4764,4955,5504,5583,6311,6235,5750,5856,5025,4976,4731,4706,4824,4821,5438,5847,5802,6130,6255,5684,5189,4897,4651,4617,4731,4726,5408,5562,5432
DENMARK.INDPROD.THERMAL  ,3282,3255,3135,2406,1964,1499,1475,1468,1929,2456,2666,3437,3219,2737,2859,2051,1707,1547,1205,1274,1245,1612,2117,1984,2361,2521,1609,1500,1173,979,753,871,1121,1706,1747,2406
DENMARK.INDPROD.NUCLEAR  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENMARK.INDPROD.HYDRO    ,2,1,3,2,2,1,1,1,1,1,3,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2
DENMARK.INDPROD.GEOTHERM ,762,517,676,632,607,401,421,539,764,873,895,723,734,1153,903,730,786,503,562,654,736,979,730,1309,1148,946,1075,727,738,763,597,521,934,880,877,1082
