Index,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12
ITALY.INDPROD.NUCLEAR    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITALY.INDPROD.HYDRO      ,3806,3343,3881,4171,6122,6253,5383,4298,3831,3693,4674,4341,3680,2923,3339,4091,4286,6261,4893,4184,3969,3208,3743,3088,2456,2137,2387,3015,4941,5212,4791,3818,3291,3588,4606,3882
ITALY.INDPROD.GEOTHERM   ,1454,1469,1411,1179,1490,1260,1143,1226,1340,1402,1636,1697,1273,1575,2023,1996,2010,2015,2851,2620,2736,2783,2102,2845,2833,2888,3809,3792,4030,3646,4023,3799,3362,3062,2868,3023
ITALY.INDPROD.ELECTR     ,25416,23086,24589,21837,23347,23779,27755,22505,23886,24357,24138,26053,24860,22868,24870,21962,23514,24247,26918,23830,26311,23218,23049,23615,24399,25532,23659,21673,23561,24821,28102,25395,23824,22686,22112,22061
ITALY.IMPORTS.ELECTR     ,3655,4059,4563,4066,3700,3933,4586,2940,3520,3888,4025,3051,4078,4196,4228,4054,3541,3541,4016,2729,3094,4816,4663,4393,4385,3275,4724,3857,3481,3515,3420,2234,3306,4667,4595,4569
ITALY.EXPORTS.ELECTR     ,238,136,155,170,121,130,102,113,87,160,134,283,196,127,192,116,87,176,96,141,125,75,169,223,196,374,126,160,189,230,230,306,166,77,85,128
ITALY.CONSUME.ELECTR     ,28833,27009,28997,25733,26926,27582,32239,25332,27319,28085,28029,28821,28742,26937,28906,25900,26968,27612,30838,26418,29280,27959,27543,27785,28588,28433,28257,25370,26853,28106,31292,27323,26964,27276,26622,26502
JAPAN.INDPROD.THERMAL    ,68668,62713,61155,46920,44342,48363,60327,68967,60609,49799,51847,60253,70095,58332,59540,49156,48882,56368,68121,71764,65296,63221,63650,75489,84883,83357,77555,63625,61986,64101,74831,79839,72374,66776,69046,79330
JAPAN.INDPROD.NUCLEAR    ,24495,21841,22848,22397,21491,22142,24215,24282,22342,25007,23877,23499,22891,22140,20225,17093,14165,12334,11751,9168,6911,6400,6750,5282,3566,1976,1460,647,100,0,957,1682,1632,1705,1669,1734
JAPAN.INDPROD.HYDRO      ,5591,6118,10404,9504,10094,9719,11309,9285,7015,5965,5307,6139,5548,4632,5727,6583,10102,10504,9836,9040,9426,6414,5325,5634,4796,5302,7925,8646,8943,8052,9954,8132,5958,4765,4926,5535
JAPAN.INDPROD.GEOTHERM   ,267,284,350,364,359,285,291,289,331,471,599,1419,1918,1428,2391,796,678,560,629,690,690,778,855,1184,1619,1562,1326,868,883,761,783,738,698,854,814,984
JAPAN.INDPROD.ELECTR     ,99021,90955,94757,79184,76285,80509,96141,102824,90298,81242,81630,91311,100452,86532,87884,73628,73827,79767,90338,90662,82324,76814,76579,87588,94864,92197,88266,73786,71912,72914,86524,90391,80662,74101,76455,87583
JAPAN.IMPORTS.ELECTR     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAPAN.EXPORTS.ELECTR     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAPAN.CONSUME.ELECTR     ,99021,90955,94757,79184,76285,80509,96141,102824,90298,81242,81630,91311,100452,86532,87884,73628,73827,79767,90338,90662,82324,76814,76579,87588,94864,92197,88266,73786,71912,72914,86524,90391,80662,74101,76455,87583
KOREA.INDPROD.THERMAL    ,31313,26352,29722,25965,23723,25078,27901,28686,26114,25453,27240,32608,35901,27260,30083,26070,24786,26654,28224,27903,27339,27934,28804,34008,32995,32245,31445,27350,27063,27593,30645,30331,26002,26062,28767,32404
KOREA.INDPROD.NUCLEAR    ,12654,10915,10829,10928,12016,11884,12668,12704,10485,12073,12340,12398,11929,11348,12502,12184,12969,11710,12615,13061,10807,11485,11235,11586,12526,11550,11921,10876,11718,12197,12353,13340,12759,12106,10439,11802
KOREA.INDPROD.HYDRO      ,396,373,444,484,532,525,504,774,1025,512,368,469,610,453,398,336,699,738,1329,1200,623,392,305,398,391,354,420,643,587,504,504,639,506,495,440,489
KOREA.INDPROD.GEOTHERM   ,161,161,161,161,161,161,161,161,161,161,161,161,172,172,172,172,172,172,172,172,172,172,172,172,269,269,269,269,269,269,269,269,269,269,269,269
KOREA.INDPROD.ELECTR     ,44525,37802,41157,37538,36433,37648,41234,42325,37785,38199,40109,45637,48612,39233,43156,38762,38627,39274,42339,42337,38941,39983,40516,46163,46181,44418,44056,39138,39637,40563,43771,44578,39536,38932,39915,44964
KOREA.IMPORTS.ELECTR     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOREA.EXPORTS.ELECTR     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOREA.CONSUME.ELECTR     ,44525,37802,41157,37538,36433,37648,41234,42325,37785,38199,40109,45637,48612,39233,43156,38762,38627,39274,42339,42337,38941,39983,40516,46163,46181,44418,44056,39138,39637,40563,43771,44578,39536,38932,39915,44964
LUXEMBOU.INDPROD.THERMAL ,243,231,243,225,161,265,262,246,259,300,272,322,286,262,285,247,228,241,214,51,35,86,274,263,234,285,246,261,223,227,217,157,92,207,210,213
LUXEMBOU.INDPROD.NUCLEAR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUXEMBOU.INDPROD.HYDRO   ,121,109,108,135,161,116,87,84,98,117,155,166,148,143,141,121,48,39,47,79,77,99,79,94,94,81,111,89,97,87,87,77,83,98,97,110
LUXEMBOU.INDPROD.GEOTHERM,5,8,9,6,6,5,6,6,5,8,8,5,5,6,8,6,6,7,6,6,7,8,5,15,11,7,6,6,9,6,6,7,6,12,9,19
LUXEMBOU.INDPROD.ELECTR  ,369,347,361,366,327,386,355,336,361,425,434,493,438,411,434,374,282,288,267,136,119,193,357,372,339,373,363,356,329,320,310,241,181,317,316,342
LUXEMBOU.IMPORTS.ELECTR  ,638,573,614,625,695,580,581,487,574,630,645,638,678,640,666,613,563,464,551,563,629,620,560,548,548,569,622,558,563,556,534,494,571,570,554,545
LUXEMBOU.EXPORTS.ELECTR  ,276,257,261,272,258,272,237,229,236,282,293,343,310,296,307,279,205,172,192,95,81,138,267,272,237,280,275,267,260,247,198,164,131,202,197,165
LUXEMBOU.CONSUME.ELECTR  ,731,663,714,719,764,694,699,594,699,773,786,788,806,755,793,708,640,580,626,604,667,675,650,648,650,662,710,647,632,629,646,571,621,685,673,722
MEXICO.INDPROD.THERMAL   ,16736,14677,17452,18332,20096,20603,18482,18086,15648,16237,16191,17436,15830,14598,17459,17614,19034,19539,18876,19100,16914,16744,15709,15769,15971,14712,16972,16767,18825,19353,19289,19761,18904,18592,16233,16620
MEXICO.INDPROD.NUCLEAR   ,1004,864,699,470,484,465,368,343,365,156,225,218,472,703,825,686,850,684,978,1001,963,849,653,1015,472,703,825,1107,1097,1007,928,307,62,200,477,645
MEXICO.INDPROD.HYDRO     ,1348,1649,2068,1905,2466,2372,3868,5148,5943,4800,3160,2062,2516,2391,2504,2604,2797,2678,3076,3826,4298,3439,2856,2511,2516,2391,2504,2631,3188,2819,2507,3666,2920,2596,1618,1886
MEXICO.INDPROD.GEOTHERM  ,664,591,627,599,629,610,632,641,641,649,624,655,664,603,635,595,661,649,660,649,623,631,610,622,664,603,635,559,573,579,606,579,554,578,550,580
MEXICO.INDPROD.ELECTR    ,19751,17780,20846,21305,23676,24051,23349,24217,22597,21843,20199,20372,19482,18296,21423,21499,23344,23551,23590,24574,22798,21663,19828,19918,19623,18409,20936,21064,23682,23758,23329,24312,22440,21966,18879,19730
MEXICO.IMPORTS.ELECTR    ,12,13,17,9,40,91,63,42,40,35,20,15,6,30,44,45,47,88,80,59,103,54,20,20,6,30,44,211,202,257,274,226,220,250,109,98
MEXICO.EXPORTS.ELECTR    ,141,112,164,164,97,38,64,57,60,137,158,158,138,145,133,108,108,68,76,78,78,90,149,122,138,145,133,108,75,49,54,51,47,103,103,125
MEXICO.CONSUME.ELECTR    ,19622,17681,20699,21150,23619,24104,23348,24202,22577,21741,20061,20229,19350,18181,21334,21436,23283,23571,23594,24555,22823,21627,19699,19816,19491,18294,20847,21167,23809,23966,23549,24487,22613,22113,18885,19703
NETHLAND.INDPROD.THERMAL ,10656,9351,9920,8263,7682,7320,7105,7063,8204,10420,10023,10274,9170,8493,9133,7914,7720,7196,6995,7339,7347,8864,9568,9518,8766,9155,8005,7213,5810,6195,6338,6591,6393,7881,8118,8234
NETHLAND.INDPROD.NUCLEAR ,332,339,364,21,305,356,361,361,235,370,361,347,353,328,362,99,355,336,352,316,342,357,347,361,362,326,361,99,135,339,352,349,340,357,350,362
NETHLAND.INDPROD.HYDRO   ,11,9,14,12,8,6,2,8,7,6,9,13,7,15,10,4,1,2,2,4,2,2,1,7,7,11,11,8,13,12,11,4,3,9,10,7
NETHLAND.INDPROD.GEOTHERM,343,386,427,311,320,222,201,368,340,474,416,399,488,510,315,351,428,346,409,318,417,512,371,856,683,486,288,449,353,417,332,292,414,428,480,696
NETHLAND.INDPROD.ELECTR  ,11342,10086,10725,8607,8315,7904,7670,7800,8786,11271,10808,11033,10019,9346,9821,8367,8504,7880,7759,7978,8108,9736,10287,10743,9818,9978,8665,7768,6311,6964,7033,7236,7150,8676,8959,9299
NETHLAND.IMPORTS.ELECTR  ,868,668,688,1148,1578,1818,1989,1903,1323,770,1113,1718,1898,1253,1413,1390,1230,2192,2312,2223,1926,1599,1488,1697,1977,1556,2881,2514,3138,3080,3045,2824,2713,2762,2725,2941
NETHLAND.EXPORTS.ELECTR  ,1428,917,1178,627,1069,749,576,714,926,1748,1336,1541,1039,892,1013,644,744,680,866,1013,880,1193,1188,1378,1232,1707,1573,1326,639,935,941,971,1052,1658,1561,1450
NETHLAND.CONSUME.ELECTR  ,10782,9837,10235,9128,8824,8973,9083,8989,9183,10293,10585,11210,10878,9707,10221,9113,8990,9392,9205,9188,9154,10142,10587,11062,10563,9827,9973,8956,8810,9109,9137,9089,8811,9780,10123,10790
NZ.INDPROD.THERMAL       ,796,884,1202,1056,989,1021,1277,1119,769,766,904,928,679,602,835,805,796,798,1039,1205,1242,994,778,773,790,1072,1106,1199,1452,1454,1230,1104,864,668,727,678
NZ.INDPROD.NUCLEAR       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ.INDPROD.HYDRO         ,2095,1880,1731,1707,2090,2175,2144,2225,2267,2224,2033,1898,2109,2027,2020,1988,2183,2336,2261,2167,1811,1915,1983,2032,1932,1587,1670,1550,1639,1668,2047,2148,2061,2186,1993,2063
NZ.INDPROD.GEOTHERM      ,496,433,652,664,621,631,631,607,617,645,564,659,630,577,640,660,689,620,720,671,645,653,643,613,659,605,700,657,642,684,684,613,640,707,660,682
NZ.INDPROD.ELECTR        ,3387,3197,3584,3428,3699,3827,4053,3951,3654,3635,3501,3485,3417,3206,3495,3454,3669,3754,4019,4043,3697,3562,3404,3419,3381,3264,3475,3406,3733,3806,3960,3864,3564,3561,3380,3422
NZ.IMPORTS.ELECTR        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ.EXPORTS.ELECTR        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ.CONSUME.ELECTR        ,3387,3197,3584,3428,3699,3827,4053,3951,3654,3635,3501,3485,3417,3206,3495,3454,3669,3754,4019,4043,3697,3562,3404,3419,3381,3264,3475,3406,3733,3806,3960,3864,3564,3561,3380,3422
NORWAY.INDPROD.THERMAL   ,443,477,576,546,483,506,525,357,235,240,464,631,589,560,610,514,415,268,257,300,253,266,299,297,273,312,275,277,242,257,184,298,236,297,284,329
NORWAY.INDPROD.NUCLEAR   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWAY.INDPROD.HYDRO     ,14215,12035,10524,8049,6898,6330,7282,7352,8513,10864,11556,13329,10504,9830,9327,7705,8035,8928,10154,10074,9989,11670,12595,12553,15004,13936,12412,11709,10806,10118,10028,10683,10519,11763,11823,14090
NORWAY.INDPROD.GEOTHERM  ,107,79,97,79,56,72,77,69,64,132,104,113,150,116,162,119,80,63,58,49,119,165,138,155,151,182,195,94,112,81,100,83,150,150,189,199
NORWAY.INDPROD.ELECTR    ,14765,12591,11197,8674,7437,6908,7884,7778,8812,11236,12124,14072,11243,10505,10098,8337,8529,9259,10469,10424,10361,12102,13033,13004,15428,14430,12882,12080,11160,10456,10313,11065,10905,12209,12296,14618
NORWAY.IMPORTS.ELECTR    ,956,938,1448,1658,2078,1797,849,927,730,749,1203,1341,2413,1998,2277,1601,829,288,89,140,362,225,162,871,346,261,333,286,224,165,124,44,65,495,795,1030
NORWAY.EXPORTS.ELECTR    ,803,412,151,119,285,341,981,627,868,1368,632,539,80,102,75,358,435,1303,2385,2304,1834,1944,2187,1323,2246,1983,1582,1855,2019,1994,1955,2573,1696,1585,1392,1293
NORWAY.CONSUME.ELECTR    ,14918,13117,12494,10213,9230,8364,7752,8078,8674,10617,12695,14874,13576,12401,12300,9580,8923,8244,8173,8260,8889,10383,11008,12552,13528,12708,11633,10511,9365,8627,8482,8536,9274,11119,11699,14355
POLAND.INDPROD.THERMAL   ,13099,11715,12046,10434,10559,10348,10789,10562,10941,12107,11883,13261,12976,12281,12892,11148,11425,10917,10921,11209,11405,12377,12605,12653,12942,13061,11965,11136,10797,10853,10864,11016,10888,11963,12094,12603
POLAND.INDPROD.NUCLEAR   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLAND.INDPROD.HYDRO     ,266,195,318,324,338,316,279,296,316,266,249,296,299,245,445,251,213,146,267,267,157,153,133,162,204,165,273,274,216,204,179,148,118,148,156,190
POLAND.INDPROD.GEOTHERM  ,101,109,152,133,112,84,84,106,170,206,190,217,165,254,250,222,160,157,158,193,206,256,204,465,427,367,437,316,263,236,246,259,369,415,449,519
POLAND.INDPROD.ELECTR    ,13466,12019,12516,10891,11009,10748,11152,10964,11427,12578,12323,13774,13441,12780,13588,11621,11798,11220,11346,11670,11768,12786,12941,13280,13573,13593,12674,11725,11275,11293,11289,11422,11375,12526,12699,13312
POLAND.IMPORTS.ELECTR    ,581,586,648,681,620,271,694,503,295,560,510,361,230,420,305,415,281,397,883,626,486,709,910,1119,854,871,966,638,774,542,1017,1032,720,933,718,738
POLAND.EXPORTS.ELECTR    ,746,920,806,631,475,365,634,435,476,845,752,579,645,840,1080,813,854,682,1022,1029,924,1174,1418,1540,1307,1441,1102,960,795,920,1001,1077,826,1053,1058,1102
POLAND.CONSUME.ELECTR    ,13301,11685,12358,10941,11154,10654,11212,11032,11246,12293,12081,13556,13026,12360,12813,11223,11225,10935,11207,11267,11330,12321,12433,12859,13120,13023,12538,11403,11254,10915,11305,11377,11269,12406,12359,12948
PORTUGAL.INDPROD.THERMAL ,1675,1488,1086,1181,1932,2299,2997,3094,3345,2553,2583,2717,1614,2451,2117,1346,2916,2463,2317,2625,2483,2208,1796,2049,2561,2590,1822,1202,1382,1649,2047,2171,2446,1589,1504,1368
PORTUGAL.INDPROD.NUCLEAR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PORTUGAL.INDPROD.HYDRO   ,2584,1880,2307,1988,1542,998,787,485,539,578,960,1697,2314,1429,1523,1232,1001,600,455,459,566,650,936,803,487,362,446,418,658,466,348,340,340,572,981,1026
PORTUGAL.INDPROD.GEOTHERM,1007,1015,949,656,749,592,633,586,424,764,931,1179,949,844,912,741,507,715,934,625,500,827,1006,918,690,947,844,1133,827,778,821,716,776,732,1240,1067
PORTUGAL.INDPROD.ELECTR  ,5265,4383,4342,3824,4224,3890,4417,4165,4307,3896,4474,5594,4877,4724,4552,3319,4425,3778,3706,3708,3549,3685,3738,3771,3738,3900,3113,2752,2867,2893,3216,3227,3562,2893,3725,3461
PORTUGAL.IMPORTS.ELECTR  ,354,432,389,333,355,537,685,706,616,701,470,234,516,304,501,698,390,555,678,580,678,597,525,721,1041,967,978,932,978,940,831,725,839,947,599,986
PORTUGAL.EXPORTS.ELECTR  ,617,351,357,287,291,122,100,80,87,71,232,597,465,460,489,196,436,225,241,303,230,255,339,291,181,268,183,132,232,259,175,269,220,126,437,391
PORTUGAL.CONSUME.ELECTR  ,5002,4464,4374,3870,4288,4305,5002,4791,4836,4526,4712,5231,4928,4568,4564,3821,4379,4108,4143,3985,3997,4027,3924,4201,4598,4599,3908,3552,3613,3574,3872,3683,4181,3714,3887,4056
SLOVAKIA.INDPROD.THERMAL ,750,643,631,587,508,406,458,413,511,696,664,738,665,616,613,646,702,471,468,493,410,581,646,636,602,668,570,544,514,440,413,510,456,628,694,714
SLOVAKIA.INDPROD.NUCLEAR ,1223,1103,1221,1168,984,1091,868,1093,874,947,1044,1168,1215,1100,1210,1088,1053,1072,984,883,1118,1043,1118,1199,1215,1125,1215,1004,1039,869,1002,1167,1141,1103,1050,1210
SLOVAKIA.INDPROD.HYDRO   ,369,313,455,390,563,642,457,594,550,383,381,484,521,377,324,267,249,295,465,375,210,296,190,238,376,288,474,428,388,388,342,245,248,273,299,328
SLOVAKIA.INDPROD.GEOTHERM,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SLOVAKIA.INDPROD.ELECTR  ,2347,2064,2312,2149,2060,2145,1788,2106,1940,2032,2094,2394,2404,2097,2151,2005,2008,1842,1921,1754,1742,1924,1957,2076,2196,2083,2262,1978,1945,1701,1761,1925,1849,2008,2047,2256
SLOVAKIA.IMPORTS.ELECTR  ,571,680,650,639,438,355,1087,527,603,889,557,338,330,648,726,616,623,562,1032,1181,1016,1343,1501,1649,1487,1415,1110,1143,883,1050,1326,1260,1003,1127,1074,997
SLOVAKIA.EXPORTS.ELECTR  ,444,458,583,668,428,498,762,631,516,660,374,270,475,677,681,666,678,533,1058,1043,922,1127,1210,1428,1347,1186,1220,1174,918,874,1153,1294,958,987,970,997
SLOVAKIA.CONSUME.ELECTR  ,2474,2286,2379,2120,2070,2002,2113,2002,2027,2261,2277,2462,2259,2068,2196,1955,1953,1871,1895,1892,1836,2140,2248,2297,2336,2312,2152,1947,1910,1877,1934,1891,1894,2148,2151,2256
SLOVENIA.INDPROD.THERMAL ,549,456,557,400,364,359,374,375,420,536,491,500,541,495,549,487,395,269,343,417,481,424,505,480,520,547,453,395,365,336,408,416,456,483,508,474
SLOVENIA.INDPROD.NUCLEAR ,505,468,517,500,515,494,499,507,475,0,383,518,518,470,401,499,511,496,504,503,483,513,500,518,517,477,511,212,48,495,503,496,496,478,499,519
SLOVENIA.INDPROD.HYDRO   ,313,244,307,307,477,435,289,340,442,414,548,512,368,224,281,274,331,485,330,307,249,322,250,227,169,131,154,281,380,384,404,322,390,465,513,422
SLOVENIA.INDPROD.GEOTHERM,1,1,1,1,1,1,1,1,1,1,1,1,0,2,4,6,8,7,7,9,8,6,4,3,6,6,14,13,18,18,23,27,18,12,6,6
SLOVENIA.INDPROD.ELECTR  ,1367,1170,1382,1209,1357,1289,1163,1224,1338,951,1423,1531,1426,1190,1234,1267,1245,1258,1184,1236,1222,1265,1259,1228,1213,1160,1132,902,810,1232,1338,1261,1359,1438,1525,1421
SLOVENIA.IMPORTS.ELECTR  ,599,690,712,653,584,654,730,599,616,807,656,715,612,590,715,531,613,614,597,500,457,613,596,591,422,405,483,456,536,425,377,436,344,414,334,370
SLOVENIA.EXPORTS.ELECTR  ,781,785,944,846,874,887,807,808,885,595,918,1002,780,667,759,685,729,727,682,621,563,732,688,665,431,386,487,352,344,535,542,573,520,643,590,512
SLOVENIA.CONSUME.ELECTR  ,1185,1075,1150,1016,1067,1056,1086,1015,1069,1163,1161,1244,1258,1113,1190,1113,1129,1145,1099,1115,1116,1146,1167,1154,1204,1179,1128,1006,1002,1122,1173,1124,1183,1209,1269,1279
SPAIN.INDPROD.THERMAL    ,12168,10425,9455,8813,9686,11136,14130,12775,14122,11858,11553,11650,11632,11496,11540,9115,11200,12195,13345,13525,13545,12453,11559,11714,14047,13874,12828,8930,10681,12898,13126,13067,11532,12556,11768,11533
SPAIN.INDPROD.NUCLEAR    ,4486,4643,4869,4901,4420,4693,5407,5428,5082,5436,5101,4832,4719,4271,4331,4453,3636,4702,4825,5271,4981,4498,4538,4856,5163,5144,5475,5196,4478,3506,5091,5457,5551,5395,4066,4357
SPAIN.INDPROD.HYDRO      ,5679,4432,6194,4936,4028,3695,3088,2191,1683,1808,2790,4181,5480,3165,4108,3685,2720,2121,1718,1628,1358,1480,2367,2474,1907,1479,1616,2020,2656,2295,1180,1601,1332,1695,2277,2944
SPAIN.INDPROD.GEOTHERM   ,4184,4937,5109,3363,4526,3305,3614,3807,3086,4699,4734,4948,4559,4562,5240,4020,3977,3862,4343,3723,3226,3824,4212,5009,4263,5875,4813,6151,4955,4766,4528,4508,4985,4022,5231,5962
SPAIN.INDPROD.ELECTR     ,26518,24437,25627,22013,22660,22827,26240,24201,23973,23800,24178,25611,26390,23495,25220,21273,21533,22881,24231,24147,23110,22256,22677,24052,25380,26373,24732,22297,22771,23466,23926,24632,23400,23668,23342,24796
SPAIN.IMPORTS.ELECTR     ,756,413,474,333,409,377,269,511,375,223,391,674,372,522,404,366,783,743,854,1005,725,780,521,859,1010,487,743,493,733,880,814,799,514,286,682,768
SPAIN.EXPORTS.ELECTR     ,1055,919,1030,1062,949,1198,1279,1274,1341,1526,984,921,996,881,1189,1433,1008,1145,1322,1187,1275,1158,1108,1322,1531,1896,1626,1733,1688,1506,1445,1449,1585,1784,1484,1866
SPAIN.CONSUME.ELECTR     ,26219,23931,25071,21284,22120,22006,25230,23438,23007,22497,23585,25364,25766,23136,24435,20206,21308,22479,23763,23965,22560,21878,22090,23589,24859,24964,23849,21057,21816,22840,23295,23982,22329,22170,22540,23698
SWEDEN.INDPROD.THERMAL   ,2498,2288,2185,1688,1266,1083,926,660,1091,1562,2068,2444,2691,2524,2579,1801,1530,953,837,719,921,1255,1746,2046,2341,2417,1907,1553,1194,940,829,850,1025,1339,1586,2363
SWEDEN.INDPROD.NUCLEAR   ,4712,3926,5134,5572,5751,5128,4467,4661,3387,2890,4695,5303,6530,5792,6435,4941,4831,3724,5030,4278,3293,3446,3878,5485,5327,4784,5563,5442,4366,3986,4495,4354,4720,5677,6069,6081
SWEDEN.INDPROD.HYDRO     ,7275,6293,4914,3807,5614,5377,4969,5288,4754,5803,6152,6136,5477,5471,4116,4532,4240,5178,4086,5641,7228,7076,6050,6825,7195,7091,6854,6420,6682,6168,5858,6042,5385,6710,6255,7210
SWEDEN.INDPROD.GEOTHERM  ,256,202,280,243,219,190,243,230,331,463,472,383,467,499,632,416,449,343,290,343,552,672,547,885,634,672,771,519,530,427,417,348,741,616,786,660
SWEDEN.INDPROD.ELECTR    ,14740,12710,12514,11310,12850,11778,10606,10839,9564,10717,13387,14266,15166,14285,13762,11691,11050,10198,10242,10981,11995,12449,12220,15240,15497,14964,15096,13935,12772,11522,11599,11594,11871,14341,14696,16315
SWEDEN.IMPORTS.ELECTR    ,1806,1824,2076,1253,398,297,536,383,1199,1842,1241,2076,1602,1231,1562,946,671,966,1342,1065,518,765,1157,652,1635,1313,574,848,892,980,836,1295,1110,582,518,1096
SWEDEN.EXPORTS.ELECTR    ,267,261,639,1313,2525,2333,2013,1499,543,410,757,291,1359,1148,1259,1504,1023,1601,2457,2258,2197,1418,1314,2155,2204,1608,2647,2895,2979,2574,3324,3119,2649,2785,2542,1949
SWEDEN.CONSUME.ELECTR    ,16279,14273,13951,11250,10723,9742,9129,9723,10220,12149,13871,16051,15409,14368,14065,11133,10698,9563,9127,9788,10316,11796,12063,13737,14928,14669,13023,11888,10685,9928,9111,9770,10332,12138,12672,15462
SWITLAND.INDPROD.THERMAL ,305,286,285,276,287,275,287,283,252,280,271,274,307,300,310,280,253,246,299,274,258,275,291,306,293,292,332,280,309,276,303,292,270,278,316,314
SWITLAND.INDPROD.NUCLEAR ,2423,2187,2412,2326,2203,1562,2129,1246,1494,2428,2350,2445,2412,2156,2403,2299,2374,1547,2038,1140,1818,2374,2339,2418,2414,2255,2335,2201,2269,1494,2215,1338,1284,1552,2340,2419
SWITLAND.INDPROD.HYDRO   ,2804,2401,2319,2116,3382,4326,4226,3984,3215,2804,2703,3168,2626,2230,2034,2144,2797,3395,3666,3521,3542,2774,2539,2529,2798,2837,2150,2447,3774,4489,4563,4247,3429,3417,2865,2914
SWITLAND.INDPROD.GEOTHERM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,19,19,19,19,19,19,19,19,19,19,19
SWITLAND.INDPROD.ELECTR  ,5543,4885,5026,4728,5882,6173,6652,5523,4971,5523,5334,5897,5355,4696,4757,4733,5434,5198,6012,4945,5627,5433,5178,5263,5524,5403,4835,4947,6371,6278,7100,5896,5001,5266,5540,5666
SWITLAND.IMPORTS.ELECTR  ,3299,3251,3631,2894,2100,1312,1916,2035,2555,2981,3650,3777,3763,3815,3808,2819,2190,2315,2171,2229,1893,3095,3209,3516,3696,3664,3860,2810,1571,1717,1297,1531,2596,3352,2831,3572
SWITLAND.EXPORTS.ELECTR  ,2499,2442,2683,2492,2770,2293,3413,2488,2475,2951,3115,3261,2800,2810,2588,2555,2480,2550,3212,2149,2556,3212,2663,2663,2971,2726,2953,2568,2977,3020,3518,2465,2685,3197,2663,3073
SWITLAND.CONSUME.ELECTR  ,6343,5694,5974,5130,5212,5192,5155,5070,5051,5553,5869,6413,6318,5701,5977,4997,5144,4963,4971,5025,4964,5316,5724,6116,6249,6341,5742,5189,4965,4975,4879,4962,4912,5421,5708,6165
TURKEY.INDPROD.THERMAL   ,12359,10729,10964,9958,10892,12153,13949,14807,12978,12988,12035,14337,15246,13528,13620,11192,10645,11479,14612,14612,13922,13867,13615,16023,15469,13100,13510,9600,11319,13561,16175,15392,15148,13575,14000,14819
TURKEY.INDPROD.NUCLEAR   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURKEY.INDPROD.HYDRO     ,4186,4336,5336,5564,5044,4345,4546,4686,3245,3195,3386,3554,3105,3046,4392,5486,5913,5458,5045,4318,3604,3580,4057,3655,4541,5559,5895,7469,6444,4955,4790,4369,3055,2971,3148,4176
TURKEY.INDPROD.GEOTHERM  ,287,246,228,235,173,210,346,331,331,338,318,431,313,355,374,413,337,375,406,685,545,487,537,488,528,449,473,507,351,584,705,715,549,464,663,612
